frame_number,x,y
0,252,167
0,83,177
0,187,187
0,87,189
0,90,139
1,252,167
1,85,177
1,185,186
1,89,189
1,92,139
29,226,167
29,84,179
29,213,184
29,116,187
29,118,138
50,213,167
50,84,180
50,225,183
50,131,187
50,132,138
63,208,163
63,88,180
63,230,185
63,137,190
63,137,141
79,202,150
79,88,186
79,233,188
79,144,204
79,142,155
103,194,138
103,90,191
103,237,193
103,151,216
103,148,168
139,189,140
139,91,191
139,240,192
139,156,214
139,154,166
181,184,143
181,92,190
181,241,191
181,160,212
181,158,163
216,181,151
216,92,186
216,242,188
216,161,203
216,161,155
248,179,163
248,93,181
248,242,183
248,162,188
248,163,140
273,178,168
273,92,177
273,243,181
273,163,182
273,165,132
296,177,166
296,91,176
296,242,183
296,163,184
296,166,134
325,176,160
325,92,177
325,242,186
325,163,188
325,166,138
347,176,159
347,93,185
347,244,180
347,165,190
347,162,141
366,172,156
366,119,222
366,240,142
366,182,193
366,151,154
378,168,155
378,142,234
378,230,122
378,193,190
378,150,162
420,128,146
420,175,243
420,237,117
420,238,195
420,201,177
441,111,143
441,181,244
441,242,117
441,253,196
441,212,179
480,96,147
480,193,243
480,240,111
480,269,189
480,233,175
521,89,155
521,202,241
521,236,106
521,274,181
521,242,169
557,84,161
557,204,237
557,236,105
557,277,176
557,248,161
620,71,172
620,222,233
620,224,96
620,287,162
620,260,154
743,61,171
743,223,230
743,214,110
743,287,170
743,284,147
831,63,169
831,225,230
831,206,118
831,282,176
831,287,147
857,63,170
857,224,230
857,204,115
857,283,175
857,288,146
879,62,169
879,224,231
879,204,112
879,281,174
879,289,146
929,64,168
929,223,235
929,202,108
929,279,174
929,289,149
1015,70,165
1015,221,235
1015,193,109
1015,269,175
1015,286,152
1056,81,161
1056,213,238
1056,185,110
1056,254,181
1056,280,159
1065,95,152
1065,203,240
1065,175,112
1065,235,189
1065,269,168
1077,126,139
1077,189,244
1077,157,117
1077,198,201
1077,241,182
1080,134,136
1080,185,244
1080,152,116
1080,189,204
1080,234,186
1082,140,134
1082,183,244
1082,148,114
1082,181,206
1082,229,188
1084,146,133
1084,180,244
1084,145,113
1084,175,209
1084,223,190
