5011,159,181,253,171,100,179,189,168,183,123
5087,158,170,237,209,99,147,178,174,199,135
5129,162,166,187,236,131,107,163,170,210,154
5169,166,167,178,236,135,102,157,170,206,156
5194,172,168,190,233,119,110,152,175,196,149
5278,192,162,205,106,155,238,171,174,125,160
5279,191,161,190,99,173,238,173,171,124,166
5284,187,160,145,97,217,221,178,163,129,184
5293,184,163,99,130,243,170,165,151,149,194
5297,186,163,92,147,242,152,161,148,156,195
5308,181,160,89,169,237,137,158,151,169,199
5335,181,153,89,162,241,144,160,158,165,204
5355,192,149,89,161,240,147,146,162,154,206
5365,200,146,80,164,236,148,135,165,145,209
5373,220,143,86,161,225,150,116,166,126,212
5375,227,142,85,161,217,151,110,168,116,213
5376,233,142,95,161,216,154,104,168,111,211
5379,254,143,92,158,187,155,86,166,91,212
5384,284,154,116,156,119,155,61,154,58,201
5393,233,156,207,160,85,142,115,153,109,199
5400,213,150,231,165,91,141,137,158,129,203
5425,191,143,240,169,94,144,155,168,147,213
6159,271,197,167,93,107,219,83,140,64,125
6783,158,173,247,186,101,172,189,177,190,131
6791,122,169,256,185,120,177,223,188,226,138
6793,67,170,245,174,167,177,277,186,281,135
6794,68,183,189,166,203,173,274,169,278,121
6795,100,185,145,171,258,176,241,169,242,119
6796,121,182,117,173,260,177,220,171,223,123
6798,139,177,102,169,257,183,200,176,204,127
6969,136,188,186,226,220,97,230,153,182,136
6992,116,172,182,232,238,108,249,171,211,147
7263,99,168,185,233,190,94,227,163,267,165
7268,103,168,181,231,186,94,221,161,262,164
7285,118,173,184,232,169,94,205,158,249,157
7415,128,166,230,222,124,132,205,182,233,145
7464,116,162,218,231,144,122,213,185,250,154
7521,77,159,230,225,176,135,257,189,281,153
7526,72,161,235,205,178,160,266,192,281,147
7528,72,162,229,189,185,177,267,190,280,145
7531,68,161,222,175,189,186,273,192,280,144
7532,65,163,233,163,191,202,277,191,280,144
7537,61,165,228,128,212,227,282,182,282,149
7539,59,166,222,119,215,230,283,177,287,148
8361,259,175,175,117,112,225,96,172,71,140
8495,264,160,99,124,176,180,85,151,71,193
8496,267,161,99,130,182,171,83,148,71,193
8497,267,163,106,140,181,160,80,146,74,193
8499,262,163,103,153,179,151,78,143,78,191
8500,265,165,105,161,175,134,77,144,79,189
8514,270,172,103,216,138,92,63,148,77,173
