frame_number,x,y
32820,176,170
32820,146,96
32820,165,232
32820,151,159
32820,202,152
32861,187,168
32861,130,97
32861,163,231
32861,130,160
32861,182,148
33076,220,178
33076,101,114
33076,172,225
33076,107,168
33076,142,136
33111,229,173
33111,98,117
33111,171,226
33111,101,169
33111,132,140
33177,240,170
33177,105,109
33177,152,234
33177,89,172
33177,118,149
33457,263,169
33457,99,119
33457,148,228
33457,69,176
33457,87,145
33589,271,166
33589,99,126
33589,146,228
33589,65,181
33589,76,146
33600,271,165
33600,101,120
33600,143,230
33600,65,178
33600,76,148
33632,272,162
33632,102,119
33632,142,230
33632,66,180
33632,73,151
33679,275,160
33679,106,112
33679,136,235
33679,62,178
33679,73,155
33687,276,160
33687,115,97
33687,126,238
33687,61,170
33687,77,166
33691,276,159
33691,123,95
33691,117,230
33691,63,164
33691,71,174
33695,275,159
33695,132,100
33695,107,211
33695,63,157
33695,70,185
33699,276,157
33699,143,121
33699,101,180
33699,66,147
33699,63,192
33701,277,159
33701,147,136
33701,113,164
33701,68,146
33701,63,192
33702,279,159
33702,155,147
33702,129,153
33702,69,146
33702,60,192
33705,276,161
33705,148,173
33705,109,125
33705,71,145
33705,57,192
33712,277,165
33712,136,225
33712,124,92
33712,77,157
33712,54,171
33721,279,167
33721,122,233
33721,134,96
33721,76,166
33721,51,157
33729,282,177
33729,116,227
33729,139,101
33729,68,161
33729,52,138
33804,280,185
33804,121,191
33804,138,94
33804,71,126
33804,52,160
33997,270,150
33997,101,170
33997,156,136
33997,69,156
33997,73,202
34001,270,148
34001,103,169
34001,156,139
34001,68,158
34001,75,205
34007,269,142
34007,106,169
34007,160,142
34007,69,164
34007,76,211
34013,269,139
34013,107,171
34013,160,144
34013,67,168
34013,77,213
34029,265,128
34029,103,183
34029,148,141
34029,68,180
34029,86,224
34035,264,131
34035,106,190
34035,144,135
34035,68,179
34035,85,220
34045,269,141
34045,104,202
34045,139,122
34045,62,172
34045,82,210
34054,270,147
34054,108,208
34054,135,112
34054,63,168
34054,81,199
34065,272,148
34065,111,219
34065,130,105
34065,60,168
34065,78,195
34090,275,154
34090,120,231
34090,122,97
34090,62,170
34090,84,180
34203,272,161
34203,122,235
34203,120,96
34203,64,167
34203,85,169
34325,258,159
34325,108,223
34325,139,97
34325,68,158
34325,97,179
34341,257,157
34341,106,223
34341,139,98
34341,69,162
34341,97,182
34377,254,154
34377,113,228
34377,133,99
34377,72,170
34377,104,182
34394,250,155
34394,122,232
34394,130,99
34394,75,170
34394,102,174
34465,239,142
34465,117,230
34465,139,105
34465,81,178
34465,122,198
34491,232,140
34491,123,232
34491,137,107
34491,88,184
34491,131,201
34555,202,146
34555,140,237
34555,139,105
34555,112,181
34555,158,184
34567,195,146
34567,132,236
34567,151,104
34567,118,182
34567,171,188
34577,191,146
34577,109,219
34577,185,106
34577,126,175
34577,172,197
34582,193,140
34582,93,201
34582,207,119
