frame_number,x,y
8792,266,180
8792,167,170
8792,100,182
8792,75,171
8792,75,125
8801,267,174
8801,161,173
8801,101,185
8801,77,177
8801,74,131
8859,268,178
8859,164,172
8859,99,183
8859,77,172
8859,74,124
8906,276,176
8906,145,174
8906,105,186
8906,69,177
8906,65,130
8936,283,175
8936,128,170
8936,122,186
8936,63,178
8936,59,130
8959,275,167
8959,109,174
8959,154,187
8959,72,187
8959,65,138
8977,258,167
8977,94,175
8977,181,185
8977,86,188
8977,84,138
8997,237,165
8997,86,179
8997,199,186
8997,107,189
8997,106,140
9015,223,166
9015,85,179
9015,216,184
9015,120,189
9015,121,138
9086,196,167
9086,89,179
9086,235,181
9086,147,186
9086,147,137
9138,187,157
9138,91,185
9138,238,185
9138,155,196
9138,154,148
9161,182,151
9161,90,187
9161,239,187
9161,158,204
9161,155,155
9280,175,153
9280,94,186
9280,245,183
9280,165,200
9280,162,151
9320,176,132
9320,96,200
9320,245,192
9320,169,222
9320,164,172
9342,171,81
9342,98,213
9342,248,206
9342,173,259
9342,170,225
9352,170,68
9352,97,214
9352,249,208
9352,177,266
9352,173,243
9358,166,63
9358,99,217
9358,248,208
9358,176,267
9358,173,251
9360,168,63
9360,99,214
9360,249,207
9360,176,268
9360,174,248
9755,180,112
9755,93,199
9755,242,205
9755,162,236
9755,162,199
9839,183,125
9839,93,199
9839,242,197
9839,161,227
9839,158,185
9856,181,158
9856,94,184
9856,242,183
9856,159,197
9856,156,148
9884,184,208
9884,90,165
9884,241,164
9884,159,146
9884,159,96
10013,184,191
10013,105,120
10013,208,213
10013,143,152
10013,180,117
10027,187,194
10027,148,89
10027,148,219
10027,133,137
10027,186,133
10070,190,216
10070,230,169
10070,122,98
10070,170,103
10070,133,132
10097,169,229
10097,223,181
10097,152,85
10097,194,98
10097,149,111
10116,151,236
10116,224,181
10116,168,83
10116,214,91
10116,167,98
10144,126,240
10144,181,176
10144,242,96
10144,236,106
10144,195,78
10189,112,212
10189,139,155
10189,259,168
10189,232,142
10189,228,95
10413,133,199
10413,128,104
10413,215,215
10413,187,144
10413,229,119
10417,134,199
10417,138,95
10417,201,218
10417,184,140
10417,233,123
10417,135,199
10417,139,95
10417,201,219
10417,183,140
10417,234,121
10466,176,206
10466,167,82
10466,137,210
10466,144,123
10466,193,126
10528,211,221
10528,191,85
10528,92,184
10528,118,102
10528,149,119
10544,217,227
10544,199,86
10544,85,176
10544,114,95
10544,140,114
10611,224,255
10611,216,93
10611,86,151
10611,125,71
10611,114,82
10751,131,239
10751,240,124
10751,162,169
10751,228,106
10751,193,73
10752,132,237
10752,240,122
10752,167,172
10752,230,106
10752,193,74
10753,131,238
10753,238,123
10753,168,172
10753,231,106
10753,194,75
10757,126,235
10757,232,117
10757,177,171
10757,237,107
10757,199,76
10767,110,226
10767,235,120
10767,183,185
10767,255,119
10767,217,85
10772,98,220
10772,234,123
10772,191,187
10772,261,129
10772,227,92
10789,75,191
10789,236,132
10789,201,205
10789,277,158
10789,259,118
10963,60,163
10963,206,161
10963,225,204
10963,277,188
10963,287,143
10997,62,160
10997,200,160
10997,230,204
10997,275,191
10997,288,146
11050,64,161
11050,192,158
11050,233,208
11050,272,190
11050,286,145
11118,71,169
11118,184,153
11118,241,208
11118,268,185
11118,281,140
11214,81,161
11214,177,124
11214,226,233
11214,251,185
11214,280,156
11271,90,162
11271,206,96
11271,179,231
11271,233,163
11271,276,176
11278,94,162
11278,204,94
11278,178,227
11278,229,163
11278,271,173
11376,138,185
11376,178,87
11376,155,216
11376,180,142
11376,232,151
11436,166,195
11436,166,85
11436,148,219
11436,154,134
11436,206,137
11536,211,201
11536,136,88
11536,141,215
11536,111,132
11536,158,121
11644,250,195
11644,117,99
11644,133,218
11644,74,144
11644,107,119
11673,260,191
11673,115,103
11673,130,219
11673,67,150
11673,97,124
11758,277,178
11758,111,117
11758,130,223
11758,63,167
11758,73,136
12611,260,118
12611,154,161
12611,140,231
12611,99,228
12611,64,197
12653,249,113
12653,134,132
