32820,176,170,146,96,165,232,151,159,202,152
32861,187,168,130,97,163,231,130,160,182,148
33076,220,178,101,114,172,225,107,168,142,136
33111,229,173,98,117,171,226,101,169,132,140
33177,240,170,105,109,152,234,89,172,118,149
33457,263,169,99,119,148,228,69,176,87,145
33589,271,166,99,126,146,228,65,181,76,146
33600,271,165,101,120,143,230,65,178,76,148
33632,272,162,102,119,142,230,66,180,73,151
33679,275,160,106,112,136,235,62,178,73,155
33687,276,160,115,97,126,238,61,170,77,166
33691,276,159,123,95,117,230,63,164,71,174
33695,275,159,132,100,107,211,63,157,70,185
33699,276,157,143,121,101,180,66,147,63,192
33701,277,159,147,136,113,164,68,146,63,192
33702,279,159,155,147,129,153,69,146,60,192
33705,276,161,148,173,109,125,71,145,57,192
33712,277,165,136,225,124,92,77,157,54,171
33721,279,167,122,233,134,96,76,166,51,157
33729,282,177,116,227,139,101,68,161,52,138
33804,280,185,121,191,138,94,71,126,52,160
33997,270,150,101,170,156,136,69,156,73,202
34001,270,148,103,169,156,139,68,158,75,205
34007,269,142,106,169,160,142,69,164,76,211
34013,269,139,107,171,160,144,67,168,77,213
34029,265,128,103,183,148,141,68,180,86,224
34035,264,131,106,190,144,135,68,179,85,220
34045,269,141,104,202,139,122,62,172,82,210
34054,270,147,108,208,135,112,63,168,81,199
34065,272,148,111,219,130,105,60,168,78,195
34090,275,154,120,231,122,97,62,170,84,180
34203,272,161,122,235,120,96,64,167,85,169
34325,258,159,108,223,139,97,68,158,97,179
34341,257,157,106,223,139,98,69,162,97,182
34377,254,154,113,228,133,99,72,170,104,182
34394,250,155,122,232,130,99,75,170,102,174
34465,239,142,117,230,139,105,81,178,122,198
34491,232,140,123,232,137,107,88,184,131,201
34555,202,146,140,237,139,105,112,181,158,184
34567,195,146,132,236,151,104,118,182,171,188
34577,191,146,109,219,185,106,126,175,172,197
34582,193,140,93,201,207,119,131,168,163,209
34587,199,139,87,175,229,140,134,172,150,217
34591,205,135,84,160,229,159,133,174,139,218
34599,218,133,97,131,220,198,131,182,115,219
34613,231,131,118,113,200,229,128,190,97,210
34635,246,144,161,113,149,242,116,194,74,180
34667,265,160,146,104,137,237,88,174,59,165
34696,280,152,115,98,142,233,68,170,54,183
34706,282,149,111,102,139,233,62,173,56,187
34731,281,153,111,104,130,239,61,179,75,173
34753,280,171,116,104,122,233,58,169,70,148
34761,274,175,122,97,120,232,59,160,75,150
34770,270,174,128,90,114,228,62,155,80,154
34785,264,169,135,93,108,226,66,154,87,166
34813,242,168,134,93,120,229,83,159,112,164
34825,229,171,134,91,126,230,93,160,129,159
34846,215,177,134,92,134,230,107,155,146,151
34865,194,177,166,88,118,219,123,146,164,159
34881,184,169,195,98,103,207,135,148,175,175
34892,179,164,206,105,102,203,144,153,180,186
34904,176,162,216,111,102,203,151,160,185,195
34931,160,141,234,132,99,188,169,173,191,214
34940,165,146,238,133,94,179,165,164,181,207
34958,172,160,233,128,93,180,161,157,180,201
35001,175,173,236,125,92,174,161,144,179,188
35037,175,175,246,145,93,148,165,140,164,185
35079,181,174,236,190,118,106,173,142,138,177
35112,202,169,217,212,133,98,165,148,119,174
35149,226,162,186,226,142,94,138,159,92,174
35183,245,169,154,232,158,94,119,162,73,159
35268,270,160,156,219,118,97,84,157,57,181
35367,283,174,118,231,137,97,67,161,62,149
35495,277,173,110,224,133,92,61,154,77,152
35600,254,158,114,228,135,95,72,164,91,165
35616,248,155,115,230,135,99,75,168,109,178
35759,193,173,217,209,88,143,133,178,159,134
35763,199,174,229,188,85,165,135,177,145,128
35774,213,182,227,173,83,178,126,171,129,125
35809,214,177,218,126,111,219,141,169,111,133
35858,212,176,221,130,109,216,141,170,115,134
35881,205,177,228,157,91,193,139,170,129,126
35891,204,178,234,177,83,177,131,174,137,128
35897,203,176,212,205,88,145,124,175,149,130
35905,204,173,160,231,121,102,109,164,160,149
35910,209,171,147,231,134,95,109,161,157,156
35923,222,169,136,231,136,92,96,160,134,160
35942,231,170,164,230,102,114,92,170,126,152
35948,233,170,177,221,92,128,94,174,123,140
35959,238,166,183,214,85,142,90,182,112,140
35999,254,157,180,210,87,156,82,193,89,150
36005,255,157,183,200,86,166,84,195,87,148
36009,255,157,184,191,90,180,87,196,84,149
36012,257,156,199,179,96,185,87,197,79,149
36016,259,156,189,169,98,191,84,195,75,149
36022,261,154,190,157,100,203,87,193,73,148
36026,263,156,173,155,107,211,87,195,69,152
36038,264,156,169,148,108,218,86,195,66,153
36065,267,152,157,131,120,230,86,194,61,162
36072,266,152,151,120,129,235,88,192,60,166
36082,269,148,142,111,141,240,87,188,56,172
36158,272,155,146,120,126,235,81,187,56,162
36387,283,161,129,121,124,231,64,181,54,152
